Proposição;Casa;Autoria;Apresentação;Tema;Ementa;Comissão/órgão;Estágio;Última movimentação;Data da movimentação;Prioridade;Observações
Pauta 2615340 — PRL 2;Câmara;Laura Carneiro;2026-04-10;Parecer ao PL 82/2025 — pessoas com deficiência;Parecer da Relatora pela aprovação do PL 82/2025, na forma do substitutivo da Comissão de Defesa dos Direitos das Pessoas com Deficiência.;CPASF;Em tramitação;Parecer da Relatora, Dep. Laura Carneiro (PSD-RJ).;2026-04-10;baixa;
PL 1942/2022;Câmara;Coronel Armando;2022-07-07;Titulação de terras quilombolas;Dispõe sobre identificação, delimitação, reconhecimento e titulação das terras de remanescentes de quilombos.;MESA;Movimentação processual;Apresentação do REQ nº 1994/2026 de redistribuição à CPOVOS.;2026-04-09;media;Monitoramento.
PL 3820/2021;Câmara;Senado Federal — CPI da Pandemia;2021-12-20;Livro dos Heróis da Pandemia;Institui o Livro dos Heróis e Heroínas da Pandemia de Covid-19.;CCP;Parecer publicado;Encaminhada à publicação. Parecer da CCJC publicado em avulso e no DCD de 25/03/2026, Letra B.;2026-03-24;urgente;Projeto pronto para pauta.
PL 225/2024;Câmara;Delegada Adriana Accorsi;2024-02-07;Produção familiar de cachaça e aguardente;Dispõe sobre a produção de cachaça e aguardente de cana-de-açúcar por estabelecimento familiar rural.;CDC;Relator designado;Designado Relator, Dep. Charles Fernandes (PSD-BA).;2026-03-17;alta;Pode compor cruzamento de agroindústria artesanal.
REQ 1/2026 — CDIR;Senado;Senador Irajá (PSD/TO);2026-01-01;Requerimento de missão oficial;Requer licença para desempenhar missão oficial no ICE Barcelona 2026.;CDIR;Tramitação encerrada;TRAMITAÇÃO ENCERRADA.;2026-03-13;baixa;
PL 3979/2019;Câmara;Eduardo Bismarck;2019-07-09;Conselhos de Classes de Profissões Regulamentadas;Regulamenta a atuação das autarquias especiais — os conselhos de fiscalização de profissões regulamentadas.;CTRAB;Relatoria devolvida;Devolvida pelo Relator sem manifestação.;2026-03-05;alta;Tema sensível para conselhos profissionais.
PL 1822/2025;Câmara;Romero Rodrigues;2025-04-23;Segurança na aplicação aeroagrícola por drones;Dispõe sobre a segurança na aplicação aeroagrícola de agrotóxicos, adjuvantes, fertilizantes, corretivos, bioinsumos e sementes com aeronaves remotamente pilotadas.;CVT;Relator designado;Designado Relator, Dep. Jonas Donizette (PSB-SP).;2026-02-24;alta;Impacto em tecnologia rural e segurança operacional.
PL 2190/2023;Câmara;Tadeu Veneri;2023-04-26;Comercialização de sementes e mudas crioulas;Altera a Lei nº 10.711/2003 para dispor sobre livre multiplicação, troca e comercialização de sementes e mudas de cultivar local, tradicional ou crioula.;CCJC;Relatoria devolvida;Devolvida pelo Relator sem manifestação.;2026-02-13;alta;Projeto listado como central na agenda da CCJC. Aprovado na CAPADR em 23/04/2024 (relator Dep. Daniel Agrobom). Na CCJC, conclusiva, solicitada relatoria ao Dep. Rafael Prudente.
PL 5407/2025;Câmara;Greyce Elias;2025-10-24;Reaproveitamento de rejeitos da mineração;Dispõe sobre o aproveitamento de estéreis e rejeitos da atividade minerária para recuperação de áreas degradadas.;CME;Recebido em comissão;Recebimento pela CME.;2026-02-04;media;Monitoramento.
PL 6176/2013;Câmara;Padre João;2013-08-23;Bancos comunitários de sementes e mudas crioulas;Institui a Política Nacional de Incentivo à Formação de Bancos Comunitários de Sementes e Mudas de variedades locais, tradicionais ou crioulas.;MESA;Remetido ao Senado;Remessa ao Senado Federal por meio do Of. nº 884/2025/SGM-P.;2025-12-19;media;
PL 4239/2024;Câmara;Yury do Paredão;2024-11-04;Abrigos de cães e gatos;Institui abrigos de cães e gatos em municípios com população igual ou superior a 50.000 habitantes.;CMADS;Prazo de emendas encerrado;Encerrado o prazo de emendas (27/11 a 11/12/2025). Não foram apresentadas emendas.;2025-12-11;media;Monitoramento seletivo.
PL 4718/2020;Senado;Senador Marcos Rogério (DEM/RO);2020-09-23;Regularização fundiária na Amazônia Legal;Altera a Lei nº 11.952/2009 (regularização fundiária de ocupações em terras da União na Amazônia Legal).;CRA;Com a relatoria;MATÉRIA COM A RELATORIA.;2025-12-08;alta;
PL 4110/2025;Câmara;Aline Gurgel;2025-08-19;Competências na aquicultura e na pesca;Altera a Lei nº 11.959/2009 (Política Nacional de Desenvolvimento Sustentável da Aquicultura e da Pesca) para incluir competências.;CCP;Recebido em comissão;Recebimento pela CMADS.;2025-12-02;media;
PL 3692/2025;Câmara;Domingos Neto;2025-08-04;Saúde dos trabalhadores rurais e agrotóxicos;Dispõe sobre a proteção da saúde e da integridade dos trabalhadores rurais no tratamento e revestimento de sementes.;CAPADR;Relator designado;Designado Relator, Dep. Tião Medeiros (PP-PR).;2025-12-02;urgente;Prioridade 1 nas anotações.
PL 8407/2017;Câmara;Roberto de Lucena;2017-08-30;Exercício da profissão de médico-veterinário;Acrescenta parágrafo único à alínea “e” do art. 5º da Lei nº 5.517/1968 (exercício da profissão de médico-veterinário).;CCJC;Relator designado;Designado Relator, Dep. Hugo Leal (PSD-RJ).;2025-11-25;alta;Mencionado no áudio como demanda urgente.
PL 5269/2019;Câmara;Dra. Soraya Manato;2019-09-26;Usucapião extrajudicial;Altera a Lei nº 6.015/1973, que dispõe sobre os registros públicos.;MESA;Movimentação processual;Apensação do PL 4701/2025 ao PL 5921/2019.;2025-11-06;alta;Demanda de porta em porta na CCJC.
PL 5862/2023;Câmara;João Daniel;2023-12-05;Serviço voluntário;Altera a Lei nº 9.608/1998, que dispõe sobre o serviço voluntário.;CCJC;Recebido em comissão;Recebimento pela CCJC.;2025-10-29;baixa;
PL 4805/2024;Câmara;Max Lemos;2024-12-10;Destinação de 1% do ITR para qualificação profissional;Altera a Lei nº 9.393/1996 para destinar 1% da arrecadação do ITR a programas de qualificação profissional.;CCP;Parecer publicado;Encaminhada à publicação. Parecer da CAPADR publicado no DCD de 22/10/2025, Letra A.;2025-10-21;alta;Mencionado como pendente na CCP.
PL 1648/2020;Senado;Senador Confúcio Moura (MDB/RO);2020-04-06;Benefícios previdenciários e relações de trabalho;Altera a Lei nº 8.213/1990 (Planos de Benefícios da Previdência Social) e a CLT.;CAS;Com a relatoria;MATÉRIA COM A RELATORIA.;2025-10-20;media;
PL 2477/2023;Câmara;Amom Mandel;2023-05-10;Conceito de nascente e APP;Altera a Lei nº 12.651/2012 para ampliar o conceito de nascente e de Área de Preservação Permanente.;CCP;Parecer publicado;Encaminhada à publicação. Parecer da CMADS publicado no DCD de 15/10/2025, Letra A.;2025-10-14;alta;Tema ambiental sensível para contenção qualificada.
PL 2925/2025;Câmara;Dal Barreto;2025-06-17;Agrônomos, veterinários e zootecnistas no Pronater;Altera a Lei nº 12.188/2010 para estabelecer a presença de engenheiros agrônomos, médicos veterinários ou zootecnistas nas equipes do Pronater.;CCP;Parecer publicado;Encaminhada à publicação. Parecer da CAPADR publicado no DCD de 14/10/2025, Letra A.;2025-10-13;urgente;"Risco corporativo; precisa de atenção."
PL 4074/2021;Câmara;Airton Faleiro;2021-11-17;Agricultura urbana em programas habitacionais;Dispõe sobre a reserva de áreas para sistemas produtivos de agricultura urbana ou periurbana em programas habitacionais públicos federais.;CCP;Parecer publicado;Encaminhada à publicação. Parecer da CDU publicado no DCD de 11/10/2025, Letra B.;2025-10-10;alta;Mencionado no áudio como projeto na CCP. Aprovado na CAPADR e na CDU (relator Dep. Ícaro de Valmir). Na CCJC, trabalhar relator.
PL 6093/2023;Câmara;Coronel Fernanda;2023-12-19;Demarcação de terras indígenas;Regulamenta o art. 231 da CF e dispõe sobre o procedimento administrativo de demarcação de terras indígenas.;CPOVOS;Prazo de emendas encerrado;Encerrado o prazo de emendas (18/09 a 01/10/2025). Não foram apresentadas emendas.;2025-10-01;media;Monitoramento seletivo.
PL 1531/2023;Câmara;Silvio Costa Filho;2023-03-30;Isenção de anuidade para doentes graves;Dispõe sobre a isenção da anuidade devida aos Conselhos de Arquitetura e Urbanismo por profissionais com doença grave.;CFT;Recebido em comissão;Recebimento pela CFT.;2025-09-18;alta;Mencionado no áudio como demanda da semana.
PL 4012/2025;Câmara;Marcelo Queiroz;2025-08-14;Seguro de Responsabilidade Técnica (SRT-ART);Institui o Seguro de Responsabilidade Técnica (SRT-ART) vinculado à Anotação de Responsabilidade Técnica.;CTRAB;Recebido em comissão;Recebimento pela CTRAB.;2025-09-16;alta;Atenção a efeitos sobre conselhos profissionais.
PL 4013/2025;Câmara;Marcelo Queiroz;2025-08-14;Remuneração técnica Engenharia/Agronomia;Estabelece remuneração técnica proporcional para profissionais da Engenharia e Agronomia no exercício da responsabilidade técnica.;CTRAB;Recebido em comissão;Recebimento pela CTRAB.;2025-09-16;alta;Conecta com estratégia de proteção da arquitetura institucional dos conselhos.
PL 3958/2019;Senado;Senador Luis Carlos Heinze (PP/RS);2019-07-08;Inspeção industrial e sanitária de produtos de origem animal;Altera a Lei nº 1.283/1950, que dispõe sobre a inspeção industrial e sanitária dos produtos de origem animal.;CCJ;Aguardando relator;AGUARDANDO DESIGNAÇÃO DO RELATOR.;2025-08-18;alta;
PL 2283/2021;Câmara;Fausto Pinato;2021-06-22;Avaliação de imóveis públicos federais;Dispõe sobre procedimentos nas avaliações de imóveis destinados a órgãos e entidades públicas federais.;CASP;Movimentação processual;Aprovado o REQ nº 67/2025, do Dep. Reimont, para realização de audiência pública.;2025-08-12;urgente;Projeto próximo de avanço.
PEC 381/2017;Câmara;André Figueiredo;2017-11-09;Impedimento a ocupantes de cargos na Magistratura;Acrescenta inciso VI ao parágrafo único do art. 95 da CF (impedimento a ocupantes de cargos na Magistratura).;CCJC;Relator designado;Designado Relator, Dep. Félix Mendonça Júnior (PDT-BA).;2025-04-03;baixa;
PL 3665/2024;Senado;Senador Hamilton Mourão (REPUBLICANOS/RS);2024-09-22;Regulamentação das análises clínicas animais;Dispõe sobre a regulamentação das análises clínicas animais no Brasil.;CMA;Com a relatoria;MATÉRIA COM A RELATORIA.;2025-03-12;media;
PL 3913/2019;Senado;CPI de Brumadinho;2019-07-04;Licenciamento e segurança de barragens de rejeitos;Proíbe o licenciamento ambiental de novas barragens de rejeitos e de resíduos industriais e estabelece regras de segurança.;CCJ;Aguardando relator;AGUARDANDO DESIGNAÇÃO DO RELATOR.;2025-02-18;media;
PL 3291/2019;Câmara;Gil Cutrim;2019-06-04;Recuperação ambiental dos rios maranhenses;Cria o Programa de Recuperação Ambiental Proteção das Águas dos Rios Maranhenses.;CFT;Recebido em comissão;Recebimento pela CFT.;2024-12-09;alta;Mencionado como demanda urgente da semana.
PL 5269/2023;Câmara;André Fernandes;2023-10-30;Tipificação do estelionato;Altera o Decreto-Lei nº 2.848/1940 no capítulo do estelionato e outras fraudes.;CCJC;Relator designado;Designado Relator, Dep. Marcelo Crivella (REPUBLIC-RJ), para o PL 1300/2022, ao qual esta proposição está apensada.;2024-08-27;baixa;
PL 510/2021;Senado;Senador Irajá (PSD/TO);2021-02-21;Regularização fundiária — emendas apresentadas a pedido do CFTA;Altera a Lei nº 11.952/2009 e outras normas para ampliar o alcance da regularização fundiária.;CRA;Aguardando relator;AGUARDANDO DESIGNAÇÃO DO RELATOR.;2023-11-13;urgente;"Emenda de Plenário nº 13 apresentada pelo Sen. Eduardo Gomes a pedido do CFTA; emendas nºs 133 a 137 apresentadas pelo Sen. Jaime Bagattoli a pedido do Conselho. Tramita em conjunto com o PL 2633/2020."
PL 4681/2023;Câmara;Marcelo Queiroz;2023-09-26;Destinação de animais mortos;Dispõe sobre recolha, transporte, armazenagem, manuseio e destinação final de animais mortos.;CCP;Parecer publicado;Encaminhada à publicação. Publicação inicial no DCD de 06/10/2023.;2023-10-05;alta;Entrar na lista de conferência junto à CCP.
PLS 168/2018;Senado;Senador Acir Gurgacz (PDT/RO);2018-04-09;Licenciamento ambiental e avaliação ambiental estratégica;Regulamenta o licenciamento ambiental previsto no art. 225, § 1º, IV, da CF e dispõe sobre avaliação ambiental estratégica.;CCJ;Desarquivada;DESARQUIVADA — RISF art. 332, § 1º.;2023-04-11;media;
PL 4444/2021;Câmara;Isnaldo Bulhões Jr.;2021-12-15;Gestão eficiente do patrimônio imobiliário federal;Cria o Programa Nacional de Gestão Eficiente do Patrimônio Imobiliário Federal e altera a Lei nº 9.636/1998.;PLEN;Relator designado;Designado Relator, Dep. José Priante (MDB-PA).;2022-02-24;media;Relaciona-se a gestão imobiliária pública.
